City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
186,chackbay,29.8835,-90.7973,30.59,52,0,0.45,US,1696200855
187,fedorovskiy,45.0972,40.9517,16.29,56,97,3.25,RU,1696200855
188,saint-philippe,-21.3585,55.7679,21.77,74,3,2.04,RE,1696200855
189,saipan,15.1355,145.701,28.39,89,40,4.63,MP,1696200855
190,susuman,62.7833,148.1667,-2.79,92,16,1.34,RU,1696200856
191,chernyshevsk,52.5243,117.0174,5.36,72,34,1.33,RU,1696200856
192,undurkhaan,47.3194,110.6556,8.92,40,100,0.79,MN,1696200856
193,college,64.8569,-147.8028,10.18,55,100,0.0,US,1696200856
194,anandnagar,27.1,83.2833,24.34,91,51,2.19,IN,1696200856
195,stanley,54.868,-1.6985,12.1,95,20,1.54,GB,1696200856
196,hithadhoo,-0.6,73.0833,27.62,76,83,5.09,MV,1696200856
197,chiang mai,18.75,99.0,25.4,94,40,1.54,TH,1696200856
198,mhamid,29.82,-5.72,26.99,22,74,4.01,MA,1696200856
199,cidreira,-30.1811,-50.2056,13.41,69,0,3.93,BR,1696200857
200,yashkul',46.1711,45.3435,15.7,80,45,3.42,RU,1696200857
201,mpongwe,-13.5091,28.155,22.45,42,49,2.27,ZM,1696200857
202,castillos,-34.1667,-53.8333,9.29,90,19,3.0,UY,1696200857
203,sao gabriel da cachoeira,-0.1303,-67.0892,26.43,80,98,0.74,BR,1696200799
204,hadibu,12.65,54.0333,26.26,83,20,3.94,YE,1696200857
205,wau,7.7029,27.9953,23.67,88,100,1.4,SS,1696200857
206,usinsk,65.9939,57.5281,11.71,91,100,8.49,RU,1696200857
207,sarangani,5.4033,125.4636,28.27,77,92,3.18,PH,1696200857
208,wenchang,30.904,118.4887,18.74,80,77,3.98,CN,1696200858
209,chonchi,-42.6128,-73.8092,7.56,98,100,0.64,CL,1696200858
210,kudahuvadhoo,2.6708,72.8944,28.01,74,89,5.32,MV,1696200858
211,ronneby,56.21,15.276,6.28,100,40,1.54,SE,1696200858
212,urucara,-2.5364,-57.76,32.21,26,40,0.53,BR,1696200858
213,vilyuysk,63.7553,121.6247,5.56,83,100,1.79,RU,1696200858
214,kill devil hills,36.0307,-75.676,21.66,79,40,4.12,US,1696200858
215,verkhniy baskunchak,48.2256,46.7217,13.78,50,30,2.98,RU,1696200858
216,cockburn town,21.4612,-71.1419,28.98,70,40,5.14,TC,1696200858
217,valparaiso,-33.0393,-71.6273,14.71,76,100,3.6,CL,1696200859
218,brisas de zicatela,15.8369,-97.0419,31.29,58,75,1.54,MX,1696200859
219,kimbe,-5.5502,150.1429,30.91,62,51,0.78,PG,1696200859
220,lompoc,34.6391,-120.4579,21.55,67,0,7.15,US,1696200674
221,barranca,-10.75,-77.7667,18.73,83,48,4.46,PE,1696200859
222,broken hill,-31.95,141.4333,28.9,16,74,9.31,AU,1696200859
223,kedrovyy,56.1667,91.8167,-4.77,81,100,2.01,RU,1696200859
224,ola,59.5833,151.2833,6.34,79,98,2.28,RU,1696200859
225,daru,-9.0763,143.2092,26.06,86,100,6.65,PG,1696200860
226,jayapura,-2.5333,140.7,27.66,76,48,1.17,ID,1696200860
227,tobelo,1.7284,128.0095,27.05,82,98,0.51,ID,1696200627
228,avarua,-21.2078,-159.775,24.03,83,75,4.63,CK,1696200860
229,monrovia,6.3005,-10.7969,25.87,87,91,2.08,LR,1696200719
230,vernon,50.2581,-119.2691,16.83,54,30,1.79,CA,1696200611
231,peace river,56.2501,-117.286,15.17,41,100,6.17,CA,1696200787
232,humahuaca,-23.2054,-65.3505,16.26,24,5,4.74,AR,1696200860
233,swakopmund,-22.6833,14.5333,12.47,90,22,2.8,NA,1696200860
234,gibsons,49.3997,-123.5027,19.62,81,68,0.89,CA,1696200860
235,labrador city,52.9463,-66.9114,9.95,62,20,1.54,CA,1696200861
236,kerema,-7.9631,145.7785,26.62,85,100,0.59,PG,1696200861
237,remire-montjoly,4.9167,-52.2667,28.02,83,0,3.6,GF,1696200861
238,prince george,53.9166,-122.753,9.69,81,100,4.63,CA,1696200861
239,nyurba,63.2842,118.3319,5.58,81,100,2.24,RU,1696200861
240,were ilu,10.6,39.4333,10.02,66,16,1.97,ET,1696200861
241,mar del plata,-38.0023,-57.5575,10.61,90,20,4.63,AR,1696200861
242,penaflor,-33.6167,-70.9167,18.55,72,67,2.49,CL,1696200861
243,nova sintra,14.8667,-24.7167,24.11,79,74,4.89,CV,1696200861
244,djibo,14.1022,-1.6306,31.55,47,26,5.93,BF,1696200862
245,fedorovka,53.6314,62.7078,8.7,81,2,2.03,KZ,1696200862
246,chuguyevka,44.1653,133.8633,8.21,92,31,1.68,RU,1696200862
247,cabedelo,-6.9811,-34.8339,26.37,75,7,4.72,BR,1696200862
248,ibeto,10.4854,5.145,23.88,89,96,1.71,NG,1696200862
249,jamestown,42.097,-79.2353,21.8,64,0,3.09,US,1696200862
250,broome,42.2506,-75.833,20.43,76,38,0.45,US,1696200862
251,kuanda,56.3161,116.0806,5.43,72,100,1.8,RU,1696200862
252,west island,-12.1568,96.8225,24.99,78,75,8.75,CC,1696200863
253,pingzhuang,42.0372,119.2889,11.33,35,28,1.29,CN,1696200863
254,formosa,-26.1775,-58.1781,23.99,52,0,3.09,AR,1696200863
255,santyoku,37.4406,129.1708,16.2,57,12,2.74,KR,1696200863
256,san carlos,9.6612,-68.5827,25.75,91,100,0.86,VE,1696200817
257,buncrana,55.1333,-7.45,9.3,95,68,3.35,IE,1696200863
258,saynshand,44.8824,110.1163,12.81,26,99,3.85,MN,1696200863
259,kandyagash,49.4744,57.4233,14.23,57,98,3.36,KZ,1696200863
260,kurchatov,51.6601,35.6521,13.23,73,97,2.13,RU,1696200864
261,barcelos,41.5388,-8.6151,23.29,58,42,1.33,PT,1696200864
262,gubkinskiy,64.434,76.5026,4.38,99,100,4.1,RU,1696200864
263,maragogi,-9.0122,-35.2225,23.51,74,4,3.1,BR,1696200800
264,anadyr,64.75,177.4833,1.28,64,0,5.0,RU,1696200864
265,naze,28.3667,129.4833,25.51,80,68,4.96,JP,1696200864
266,voinjama,8.4219,-9.7478,20.87,99,99,0.56,LR,1696200864
267,penalva,-3.2942,-45.1736,28.12,60,27,3.87,BR,1696200864
268,neryungri,56.6709,124.6491,0.69,74,84,1.45,RU,1696200864
269,nantucket,41.2835,-70.0995,16.08,85,100,6.69,US,1696200865
270,auki,-8.7676,160.7034,29.73,68,52,3.34,SB,1696200865
